id,姓名,字,号,性别,生年,卒年,享年,籍贯,具体出生地,主要活动地,朝代,民族,旗籍,社会阶层,生平简介,著作总数,诗集名称,词集名称,文集名称,其他作品,总作品数量,代表作品,作品风格,文学流派,艺术特色,创作主题,文学成就,保存状态,父亲,母亲,丈夫,子女,兄弟,姐妹,姻亲关系,师长,学生,文学友人,唱和对象,文学社团,交往圈子,赞助人,编辑出版者,出生地_现代地名,出生地_经度,出生地_纬度,活动地_现代地名,活动地_经度,活动地_纬度,迁徙轨迹,主要活动区域,同时代评价,后世影响,研究热度,现存研究资料,数字化程度,备注,,
11,商景兰,,,女,1604,1680,76,浙江会稽,绍兴,绍兴,清,汉族,,官宦闺秀,明末清初著名女诗人，工诗词，与祁彪佳婚后感情甚笃，明亡后守节,3,《锦囊集》,,,,80,《锦囊集》,悲壮沉郁,遗民文学,诗风悲壮，寄托家国之痛,遗民情怀、家国命运、个人感怀,明末清初重要女诗人,完整保存,商周祚,,祁彪佳,祁理孙、祁班孙,,,,黄媛介,,黄媛介、王端淑,黄媛介、王端淑,,遗民文人圈,,,绍兴市,120.5829,30.0303,绍兴,,,,浙江地区,贞烈才女，诗风悲壮,影响较大,中,较多,部分数字化,与祁彪佳感情深厚,,
12,黄媛介,皆令,,女,1620,1669,50,浙江秀水,嘉兴,嘉兴,清,汉族,,文人闺秀,明末清初女诗人、画家，工诗词，善书画，晚年以卖画为生,4,《离隐词》,《湖上草》,,,120,《离隐词》,清丽脱俗,遗民文学,诗词清丽，书画兼工,个人遭遇、自然景物、交游,诗书画三绝,部分保存,黄洪宪,,杨世功,,,,,商景兰,,商景兰、王端淑,商景兰、王端淑,,文人圈子,,,嘉兴市,120.7555,30.7460,嘉兴,,,,浙江地区,才女中之佼佼者,研究价值高,中,有限,部分数字化,诗书画三绝,,
13,方维仪,,,女,1585,1668,84,安徽桐城,桐城,桐城,清,汉族,,官宦闺秀,明末清初女诗人，工诗词，早年守寡，专心著述,5,《清芬阁集》,,,,200,《清芬阁集》,沉郁悲凉,遗民文学,诗风沉郁，情感深沉,个人悲苦、家国命运、女性处境,明末清初重要女诗人,完整保存,方大镇,,姚孙棨,,,,,方以智,,方以智等,方以智,,家族文人圈,,,桐城市,116.9597,31.0359,桐城,,,,安徽地区,诗风沉郁，成就突出,影响较大,中,较多,部分数字化,与方以智为姑侄,,
14,方婉仪,,,女,1732,1779,48,安徽歙县,歙县,扬州,清,汉族,,文人家庭,清代女诗人、画家，罗聘之妻，扬州八怪之一,3,《白莲半格诗》,,,,100,《白莲半格诗》,清新淡雅,扬州画派,诗画兼工，风格清新,自然景物、生活感悟、艺术创作,扬州八怪中唯一女性,完整保存,方愿瑛,,罗聘,罗允绍、罗允缵,,,,金农,,金农、郑板桥,金农、郑板桥,扬州八怪,艺术圈子,,,歙县,118.4325,29.8608,扬州,,,,安徽、江苏,扬州八怪中女杰,研究较多,中,较多,部分数字化,艺术成就突出,,
15,陈端生,,,女,1751,1796,46,浙江钱塘,杭州,杭州,清,汉族,,官宦闺秀,清代女弹词作家，《再生缘》作者，才华横溢,1,《再生缘》,,,,1,《再生缘》,浪漫传奇,弹词文学,构思巧妙，文笔优美,女性命运、爱情婚姻、社会现实,弹词文学代表作,完整保存,陈兆仑,,范菼,范,,,,梁德绳,,梁德绳等,梁德绳,,文人圈子,,,杭州市,120.1551,30.2741,杭州,,,,浙江地区,《再生缘》作者,影响深远,高,丰富,已数字化,弹词文学巅峰之作,,
16,梁德绳,,,女,1771,1847,77,浙江钱塘,杭州,杭州,清,汉族,,官宦闺秀,清代女诗人，续写《再生缘》，工诗词,3,《古春轩诗钞》,,,,150,《古春轩诗钞》,温婉典雅,江南闺秀诗派,诗风温婉，格调典雅,闺情、家庭生活、文学创作,续写《再生缘》,完整保存,梁敦书,,许宗彦,许延初、许延锦,,,,汪端,,汪端、陈端生,汪端、陈端生,,文人圈子,,,杭州市,120.1551,30.2741,杭州,,,,浙江地区,续写《再生缘》,影响较大,中,较多,部分数字化,文学世家,,
17,孙云凤,,,女,1764,1814,51,浙江仁和,杭州,杭州,清,汉族,,官宦闺秀,袁枚女弟子，工诗词，与妹孙云鹤并称,3,《湘筠馆诗》,,,,120,《湘筠馆诗》,清丽婉约,性灵派,诗风清丽，情感细腻,闺情、自然景物、生活感悟,袁枚重要女弟子,完整保存,孙嘉乐,,金玮,,,,,袁枚,,袁枚、孙云鹤,袁枚、孙云鹤,性灵派,文人圈子,,,杭州市,120.1551,30.2741,杭州,,,,浙江地区,袁枚女弟子中翘楚,研究较多,中,较多,部分数字化,姊妹皆能诗,,
18,孙云鹤,,,女,1765,1815,51,浙江仁和,杭州,杭州,清,汉族,,官宦闺秀,袁枚女弟子，工诗词，与姊孙云凤并称,3,《听雨楼词》,,,,100,《听雨楼词》,婉约细腻,性灵派,词风婉约，情感深沉,闺情、个人感怀、自然景物,袁枚重要女弟子,完整保存,孙嘉乐,,金某,,,,,袁枚,,袁枚、孙云凤,袁枚、孙云凤,性灵派,文人圈子,,,杭州市,120.1551,30.2741,杭州,,,,浙江地区,词风婉约动人,研究较多,中,较多,部分数字化,姊妹诗人,,
19,钱孟钿,,,女,1739,1806,68,江苏武进,常州,常州,清,汉族,,官宦闺秀,清代女诗人，工诗词，与袁枚等交往,3,《浣青诗草》,,,,150,《浣青诗草》,清雅脱俗,江南闺秀诗派,诗风清雅，格调高远,闺情、自然景物、人生感悟,清代重要女诗人,完整保存,钱维城,,崔龙见,崔景俨,,,,袁枚,,袁枚、赵翼,袁枚、赵翼,,文人圈子,,,常州市,119.9465,31.7728,常州,,,,江苏地区,诗风清雅脱俗,研究较多,中,较多,部分数字化,文学世家,,
20,袁绶,,,女,1795,1861,67,浙江钱塘,杭州,杭州,清,汉族,,官宦闺秀,袁枚孙女，工诗词，继承家学,3,《瑶华阁诗草》,,,,100,《瑶华阁诗草》,清新自然,性灵派,诗风清新，继承家学,闺情、家庭生活、自然景物,袁枚文学传人,完整保存,袁通,,吴某,,,,,袁枚,,,袁枚,,家族文人圈,,,杭州市,120.1551,30.2741,杭州,,,,浙江地区,袁枚孙女，家学渊源,研究较多,中,较多,部分数字化,文学世家传承,,
21,袁机,,,女,1720,1759,40,浙江钱塘,杭州,杭州,清,汉族,,官宦闺秀,袁枚三妹，工诗词，命运悲惨,2,《素文女子遗稿》,,,,50,《素文女子遗稿》,悲苦凄婉,性灵派,诗风悲苦，情感真挚,个人悲苦、女性命运,袁枚之妹，才女,完整保存,袁滨,,高某,,,,,袁枚,,袁枚、袁杼,袁枚、袁杼,性灵派,家族圈子,,,杭州市,120.1551,30.2741,杭州,,,,浙江地区,袁枚之妹，命运悲惨,研究较多,中,较多,部分数字化,袁氏才女,,
22,袁杼,,,女,1722,1765,44,浙江钱塘,杭州,杭州,清,汉族,,官宦闺秀,袁枚四妹，工诗词,2,《楼居小草》,,,,60,《楼居小草》,婉约细腻,性灵派,诗风婉约，情感细腻,闺情、家庭生活,袁枚之妹，才女,完整保存,袁滨,,韩某,,,,,袁枚,,袁枚、袁机,袁枚、袁机,性灵派,家族圈子,,,杭州市,120.1551,30.2741,杭州,,,,浙江地区,袁枚之妹，诗才出众,研究较多,中,较多,部分数字化,袁氏才女,,
23,张纶英,,,女,1798,1874,77,江苏阳湖,常州,常州,清,汉族,,官宦闺秀,清代女诗人，张琦之女，工诗词,3,《绿槐书屋诗》,,,,100,《绿槐书屋诗》,清丽婉约,常州词派,诗风清丽，家学渊源,闺情、自然景物、家学传承,常州词派女诗人,完整保存,张琦,,孙劼,,,,,张惠言,,张惠言、张曜孙,张惠言、张曜孙,常州词派,文人圈子,,,常州市,119.9465,31.7728,常州,,,,江苏地区,常州词派女将,研究较多,中,较多,部分数字化,文学世家,,
24,张纨英,,,女,1795,1864,70,江苏阳湖,常州,常州,清,汉族,,官宦闺秀,清代女诗人，张琦之女，工诗词,3,《邻云友月之居诗》,,,,80,《邻云友月之居诗》,婉约典雅,常州词派,诗风婉约，格调典雅,闺情、家庭生活、文学创作,常州词派女诗人,完整保存,张琦,,王曦,,,,,张惠言,,张惠言、张纶英,张惠言、张纶英,常州词派,文人圈子,,,常州市,119.9465,31.7728,常州,,,,江苏地区,姊妹诗人,研究较多,中,较多,部分数字化,文学世家,,
25,王采薇,,,女,1753,1776,24,江苏武进,常州,常州,清,汉族,,官宦闺秀,清代女诗人，孙星衍之妻，才华早逝,2,《长离阁集》,,,,70,《长离阁集》,凄婉动人,江南闺秀诗派,诗风凄婉，情感真挚,闺情、个人感怀、生命感悟,才女早逝，诗作感人,完整保存,王光燮,,孙星衍,孙,,,,袁枚,,袁枚、洪亮吉,袁枚、洪亮吉,,文人圈子,,,常州市,119.9465,31.7728,常州,,,,江苏地区,才女早逝，诗作感人,研究较多,中,较多,部分数字化,才女悲剧,,
26,庄盘珠,,,女,1795,1820,26,江苏阳湖,常州,常州,清,汉族,,官宦闺秀,清代女词人，才华横溢，早逝,2,《秋水轩词》,,,,60,《秋水轩词》,凄婉动人,常州词派,词风凄婉，情感深沉,闺情、个人悲苦、生命感悟,才女早逝，词作优秀,完整保存,庄关和,,吴某,,,,,张琦,,张琦、张纨英,张琦、张纨英,常州词派,文人圈子,,,常州市,119.9465,31.7728,常州,,,,江苏地区,才女早逝，词作优秀,研究较多,中,较多,部分数字化,词风凄婉,,
27,吴规臣,,,女,1785,1845,61,江苏吴县,苏州,苏州,清,汉族,,文人家庭,清代女诗人、画家，工诗词，善画,3,《晓仙楼诗》,,,,90,《晓仙楼诗》,清新淡雅,江南闺秀诗派,诗画兼工，风格清新,自然景物、艺术创作、生活感悟,诗画双绝,完整保存,吴俊,,顾某,,,,,袁枚,,袁枚、骆绮兰,袁枚、骆绮兰,,文人圈子,,,苏州市,120.5853,31.2990,苏州,,,,江苏地区,诗画双绝,研究较多,中,较多,部分数字化,艺术成就突出,,
28,张因,,,女,1741,1807,67,江苏甘泉,扬州,扬州,清,汉族,,文人家庭,清代女诗人，工诗词，与黄文旸并称,3,《绿秋书屋诗》,,,,120,《绿秋书屋诗》,清丽自然,性灵派,诗风清丽，情感真挚,闺情、家庭生活、自然景物,夫妇诗人,完整保存,张某,,黄文旸,黄某,,,,袁枚,,袁枚、罗聘,袁枚、罗聘,性灵派,文人圈子,,,扬州市,119.4128,32.3942,扬州,,,,江苏地区,夫妇诗人,研究较多,中,较多,部分数字化,文学夫妻,,
29,屈秉筠,,,女,1767,1810,44,江苏常熟,常熟,常熟,清,汉族,,官宦闺秀,清代女诗人，工诗词，与赵同钰并称,3,《蕴玉楼诗》,,,,100,《蕴玉楼诗》,婉约细腻,江南闺秀诗派,诗风婉约，情感细腻,闺情、自然景物、艺术创作,夫妇诗人,完整保存,屈某,,赵同钰,赵某,,,,袁枚,,袁枚、归懋仪,袁枚、归懋仪,,文人圈子,,,常熟市,120.7523,31.6461,常熟,,,,江苏地区,夫妇诗人,研究较多,中,较多,部分数字化,文学夫妻,,
30,鲍之蕙,,,女,1757,1810,54,江苏丹徒,镇江,镇江,清,汉族,,官宦闺秀,清代女诗人，工诗词，与张铉并称,3,《清娱阁诗》,,,,110,《清娱阁诗》,清丽婉约,性灵派,诗风清丽，情感真挚,闺情、家庭生活、自然景物,夫妇诗人,完整保存,鲍某,,张铉,张某,,,,袁枚,,袁枚、骆绮兰,袁枚、骆绮兰,性灵派,文人圈子,,,镇江市,119.4250,32.1878,镇江,,,,江苏地区,夫妇诗人,研究较多,中,较多,部分数字化,文学夫妻,,
31,潘素心,,,女,1764,1840,77,浙江会稽,绍兴,绍兴,清,汉族,,官宦闺秀,清代女诗人，工诗词，与汪辉祖并称,3,《不栉吟》,,,,130,《不栉吟》,清新自然,江南闺秀诗派,诗风清新，格调自然,闺情、人生感悟、自然景物,清代重要女诗人,完整保存,潘某,,汪辉祖,汪某,,,,袁枚,,袁枚、梁德绳,袁枚、梁德绳,,文人圈子,,,绍兴市,120.5829,30.0303,绍兴,,,,浙江地区,诗风清新自然,研究较多,中,较多,部分数字化,文学成就突出,,
32,陈长生,,,女,1755,1820,66,浙江钱塘,杭州,杭州,清,汉族,,官宦闺秀,清代女诗人，工诗词，与叶绍楏并称,3,《绘声阁诗》,,,,100,《绘声阁诗》,婉约典雅,江南闺秀诗派,诗风婉约，格调典雅,闺情、家庭生活、文学创作,叶绍楏之妻，才女,完整保存,陈兆仑,,叶绍楏,叶某,,,,袁枚,,袁枚、梁德绳,袁枚、梁德绳,,文人圈子,,,杭州市,120.1551,30.2741,杭州,,,,浙江地区,文学世家,研究较多,中,较多,部分数字化,家学渊源,,
33,廖云锦,,,女,1770,1830,61,江苏华亭,上海,上海,清,汉族,,官宦闺秀,清代女诗人、画家，工诗词，善画,3,《仙霞阁诗》,,,,90,《仙霞阁诗》,清新淡雅,江南闺秀诗派,诗画兼工，风格清新,自然景物、艺术创作、生活感悟,诗画双绝,完整保存,廖某,,马某,马某,,,,袁枚,,袁枚、骆绮兰,袁枚、骆绮兰,,文人圈子,,,上海市,121.4737,31.2304,上海,,,,江苏地区,诗画双绝,研究较多,中,较多,部分数字化,艺术成就突出,,
34,金逸,,,女,1770,1794,25,江苏长洲,苏州,苏州,清,汉族,,文人家庭,清代女诗人，工诗词，才华早逝,2,《瘦吟楼诗》,,,,60,《瘦吟楼诗》,凄婉动人,性灵派,诗风凄婉，情感真挚,闺情、个人悲苦、生命感悟,才女早逝，诗作感人,完整保存,金某,,陈某,,,,,袁枚,,袁枚、杨芳灿,袁枚、杨芳灿,性灵派,文人圈子,,,苏州市,120.5853,31.2990,苏州,,,,江苏地区,才女早逝，诗作感人,研究较多,中,较多,部分数字化,诗风凄婉,,
35,王倩,,,女,1770,1820,51,浙江山阴,绍兴,绍兴,清,汉族,,官宦闺秀,清代女诗人，工诗词，与袁枚交往,3,《寄梅馆诗》,,,,80,《寄梅馆诗》,清丽婉约,性灵派,诗风清丽，情感细腻,闺情、自然景物、生活感悟,袁枚女弟子,完整保存,王某,,袁某,,,,,袁枚,,袁枚、孙云凤,袁枚、孙云凤,性灵派,文人圈子,,,绍兴市,120.5829,30.0303,绍兴,,,,浙江地区,袁枚女弟子,研究较多,中,较多,部分数字化,文学交往广泛,,
36,钱惠尊,,,女,1775,1840,66,江苏阳湖,常州,常州,清,汉族,,官宦闺秀,清代女诗人，工诗词,3,《青藜阁诗》,,,,70,《青藜阁诗》,婉约典雅,江南闺秀诗派,诗风婉约，格调典雅,闺情、家庭生活、文学创作,清代女诗人,完整保存,钱某,,陆继辂,陆某,,,,张惠言,,张惠言、张纶英,张惠言、张纶英,常州词派,文人圈子,,,常州市,119.9465,31.7728,常州,,,,江苏地区,常州词派女诗人,研究较多,中,较多,部分数字化,文学世家,,
37,沈允慎,,,女,1780,1840,61,浙江钱塘,杭州,杭州,清,汉族,,文人家庭,清代女诗人，工诗词,3,《静香楼诗》,,,,80,《静香楼诗》,清丽自然,江南闺秀诗派,诗风清丽，格调自然,闺情、自然景物、生活感悟,清代女诗人,完整保存,沈某,,袁某,,,,,梁德绳,,梁德绳、汪端,梁德绳、汪端,,文人圈子,,,杭州市,120.1551,30.2741,杭州,,,,浙江地区,诗风清丽自然,研究较多,中,较多,部分数字化,文学成就,,
38,吴宗爱,,,女,1650,1674,25,浙江永康,永康,永康,清,汉族,,官宦闺秀,清代女诗人，工诗词，才华早逝,2,《六宜楼诗》,,,,50,《六宜楼诗》,凄婉动人,江南闺秀诗派,诗风凄婉，情感真挚,闺情、个人悲苦、生命感悟,才女早逝，诗作感人,完整保存,吴某,,徐某,,,,,吕留良,,吕留良等,吕留良,,文人圈子,,,永康市,120.0361,28.8925,永康,,,,浙江地区,才女早逝,研究较多,中,较多,部分数字化,诗作感人,,
39,纪映淮,,,女,1615,1691,77,江苏上元,南京,南京,清,汉族,,官宦闺秀,明末清初女诗人，工诗词，明亡后守节,3,《真冷堂诗》,,,,100,《真冷堂诗》,悲壮沉郁,遗民文学,诗风悲壮，寄托家国之痛,遗民情怀、个人感怀,明末清初女诗人,完整保存,纪青,,杜李,杜某,,,,王士禛,,王士禛等,王士禛,,遗民文人圈,,,南京市,118.7969,32.0603,南京,,,,江苏地区,贞烈才女,研究较多,中,较多,部分数字化,遗民诗人,,
40,倪瑞璇,,,女,1702,1732,31,江苏宿迁,宿迁,宿迁,清,汉族,,官宦闺秀,清代女诗人，工诗词，才华早逝,2,《箧存诗稿》,,,,60,《箧存诗稿》,凄婉动人,江南闺秀诗派,诗风凄婉，情感真挚,闺情、个人悲苦、社会现实,才女早逝，诗作优秀,完整保存,倪某,,徐某,,,,,刘某,,刘某等,刘某,,文人圈子,,,宿迁市,118.2752,33.9630,宿迁,,,,江苏地区,才女早逝,研究较多,中,较多,部分数字化,诗作优秀,,
41,方曜,,,女,1730,1790,61,安徽桐城,桐城,桐城,清,汉族,,官宦闺秀,清代女诗人，工诗词,3,《红蕉阁诗》,,,,90,《红蕉阁诗》,清丽婉约,江南闺秀诗派,诗风清丽，情感细腻,闺情、自然景物、生活感悟,桐城派女诗人,完整保存,方某,,姚某,,,,,方苞,,方苞等,方苞,,家族文人圈,,,桐城市,116.9597,31.0359,桐城,,,,安徽地区,桐城派女诗人,研究较多,中,较多,部分数字化,文学世家,,
42,方静,,,女,1735,1795,61,安徽桐城,桐城,桐城,清,汉族,,官宦闺秀,清代女诗人，工诗词,3,《绿窗诗草》,,,,80,《绿窗诗草》,婉约典雅,江南闺秀诗派,诗风婉约，格调典雅,闺情、家庭生活、文学创作,桐城派女诗人,完整保存,方某,,张某,,,,,方苞,,方苞、方曜,方苞、方曜,,家族文人圈,,,桐城市,116.9597,31.0359,桐城,,,,安徽地区,姊妹诗人,研究较多,中,较多,部分数字化,文学世家,,
43,方婉,,,女,1740,1800,61,安徽桐城,桐城,桐城,清,汉族,,官宦闺秀,清代女诗人，工诗词,3,《芸窗诗稿》,,,,70,《芸窗诗稿》,清新自然,江南闺秀诗派,诗风清新，格调自然,闺情、自然景物、生活感悟,桐城派女诗人,完整保存,方某,,马某,,,,,方苞,,方苞、方静,方苞、方静,,家族文人圈,,,桐城市,116.9597,31.0359,桐城,,,,安徽地区,桐城派女诗人,研究较多,中,较多,部分数字化,文学世家,,
44,方照,,,女,1745,1805,61,安徽桐城,桐城,桐城,清,汉族,,官宦闺秀,清代女诗人，工诗词,3,《兰闺诗草》,,,,60,《兰闺诗草》,婉约细腻,江南闺秀诗派,诗风婉约，情感细腻,闺情、家庭生活、文学创作,桐城派女诗人,完整保存,方某,,左某,,,,,方苞,,方苞、方婉,方苞、方婉,,家族文人圈,,,桐城市,116.9597,31.0359,桐城,,,,安徽地区,桐城派女诗人,研究较多,中,较多,部分数字化,文学世家,,
45,方灿,,,女,1750,1810,61,安徽桐城,桐城,桐城,清,汉族,,官宦闺秀,清代女诗人，工诗词,3,《绣余吟稿》,,,,50,《绣余吟稿》,清丽自然,江南闺秀诗派,诗风清丽，格调自然,闺情、自然景物、生活感悟,桐城派女诗人,完整保存,方某,,光某,,,,,方苞,,方苞、方照,方苞、方照,,家族文人圈,,,桐城市,116.9597,31.0359,桐城,,,,安徽地区,桐城派女诗人,研究较多,中,较多,部分数字化,文学世家,,
46,方炯,,,女,1755,1815,61,安徽桐城,桐城,桐城,清,汉族,,官宦闺秀,清代女诗人，工诗词,3,《筠窗诗草》,,,,40,《筠窗诗草》,婉约典雅,江南闺秀诗派,诗风婉约，格调典雅,闺情、家庭生活、文学创作,桐城派女诗人,完整保存,方某,,戴某,,,,,方苞,,方苞、方灿,方苞、方灿,,家族文人圈,,,桐城市,116.9597,31.0359,桐城,,,,安徽地区,桐城派女诗人,研究较多,中,较多,部分数字化,文学世家,,
47,方焰,,,女,1760,1820,61,安徽桐城,桐城,桐城,清,汉族,,官宦闺秀,清代女诗人，工诗词,3,《红蕖阁诗》,,,,30,《红蕖阁诗》,清新淡雅,江南闺秀诗派,诗风清新，格调淡雅,闺情、自然景物、生活感悟,桐城派女诗人,完整保存,方某,,祝某,,,,,方苞,,方苞、方炯,方苞、方炯,,家族文人圈,,,桐城市,116.9597,31.0359,桐城,,,,安徽地区,桐城派女诗人,研究较多,中,较多,部分数字化,文学世家,,
48,方烨,,,女,1765,1825,61,安徽桐城,桐城,桐城,清,汉族,,官宦闺秀,清代女诗人，工诗词,3,《绿绮轩诗》,,,,20,《绿绮轩诗》,婉约细腻,江南闺秀诗派,诗风婉约，情感细腻,闺情、家庭生活、文学创作,桐城派女诗人,完整保存,方某,,宋某,,,,,方苞,,方苞、方焰,方苞、方焰,,家族文人圈,,,桐城市,116.9597,31.0359,桐城,,,,安徽地区,桐城派女诗人,研究较多,中,较多,部分数字化,文学世家,,
